,text,dana_sentiment,dana_sarcasm,david_sentiment,david_sarcasm,keerti_sentiment,keerti_sarcasm,kevin_sentiment,kevin_sarcasm
14,"It shouldn't have ""been"" at all! @GregAbbott_TX  How long are you going to 🙊🙉🙈 on #Uvalde???
#AbbottFailsTexasEveryday https://t.co/5VB9Gmutzy",,,,,,,,
15,"@GregAbbott_TX Abbott been Gov of Texas for 8 years. But everything is Joe Bidens fault in 2 years. How is that? You take no responsibility for all of your failures. 8 years of failures. 
#Uvalde
#Abbottisresponsible",,,,,,,,
16,"Controversial New Ad Shakes Up Governor’s Race #NewsBreak
#Uvalde 😤😭 https://t.co/J9bUAikAGE",,,,,,,,
17,"NEW: @BetoORourke today called on Gov. Greg Abbott to fire Steve McCraw, the director of the Texas Department of Public Safety, for #Uvalde shooting response.

“He has badly failed the people of Uvalde,” O’Rourke said. https://t.co/UJJTnuPoI5",,,,,,,,
18,"@GregAbbott_TX As long as Republicans control #Texas, the next #Uvalde massacre is right around the corner https://t.co/bVSVtgzKY8",,,,,,,,
19,"#Uvalde #SandyHook #CVPA
1/4/22 - Rockford, IL - Auburn High School - 2 wounded 
1/9/22 - Murfreesboro, NC - Chowan University - 0 killed or wounded 
1/11/22 - Albuquerque, NM - Valley High School - 0 wounded or killed 
1/19/22 - Sanford, FL - Seminole High School - 1 wounded 🧵",,,,,,,,
20,"From Adrian Arias.
#UvaldeStrong
#Uvalde
https://t.co/Tdw2xRmj2d
https://t.co/ctB79AxCah",,,,,,,,
21,"Reposted from @laloalcaraz1 ""Drew this for #Uvalde dad Brett Cross, F Ted Cruz* @ United States https://t.co/joAUgxPpCF",,,,,,,,
22,"@AbbottCampaign @GregAbbott_TX Oh really now

I have a feeling the 

#Uvalde parents

Do not believe

Your bullshit https://t.co/xAtW06UHgI",,,,,,,,
23,This shouldn’t be a thing…. She should be with her family. I shouldn’t know who she is. I know her name. I shouldn’t know her name. #Uvalde #Amerie ❤️ https://t.co/Hafl5m7lhL,,,,,,,,
24,"Someone asked me about #Uvalde. Uvalde has at least 5 gun dealers, none of which are in school zones. But a couple of them aren't very far either. None are in super close proximity to Robb Elementary https://t.co/otyFsm7tNM",,,,,,,,
25,"Primary schools in #Uvalde got priorities. What a relief!

🤨🙄🤦🏼 https://t.co/iPRQuoWXZa",,,,,,,,
26,"@RepMTG doesnt care about the lives of #Children. This rabid #ANIMAL laughed when she heard children in #Georgia were dying from #Covid19.
She profited from #Uvalde.
#Vote #USA

#MarjorieTaylorGreene Storms Out Of #Interview After Tough Questions 
https://t.co/EULCxWXVVg @YouTube",,,,,,,,
27,"@ksatnews After mass shootings at schools, stores &amp; church, @GregAbbott_TX &amp; @TexasSenateGOP STILL made it easier to get guns, even as police chiefs expressed their opposition to Constitutional Carry.
And then the horrific  #Uvalde happened.  

Think about this before voting. https://t.co/stNExAdXlB",,,,,,,,
28,"@AbbottCampaign @GregAbbott_TX ""Kids matter.""  Not to you they don't.

The sound of children screaming has been removed.

#Uvalde

https://t.co/8b2Og1X8lT",,,,,,,,
29,"I refuse to forget about #Uvalde.
Nov. 8 can't come soon enough, Texas. #77minutes https://t.co/zNZ4xgKNg1",,,,,,,,
30,"Did you know we buy used ATVs, UTVs, jet skis, side-by-sides, and motorcycles? To learn more, stop by or give us a call at (210) 696-2000, and ask for Josh Marlatt. #NewBraunfels #Laredo #Columbus #Houston #Austin #MarbleFalls #Dallas #Poteet #CorpusChristi #Uvalde #SanAntonio https://t.co/4vKRlwOwMh",,,,,,,,
31,"@GregAbbott_TX knows guns empower white racists; so, he has allowed Black &amp; Latinx #Texans to die at the hands of #DomesticTerrorist(s). #UvaldeMassacre #UvaldeTexas #Uvalde #ElPaso #ElPasoTexas @GovAbbott https://t.co/l17cWCTNSJ",,,,,,,,
32,"@AbbottCampaign @GregAbbott_TX Not the kids in #Uvalde though, right? The greatest law enforcement failure in history &amp; you're protecting the negligent parties. https://t.co/uFkMGoXUrO",,,,,,,,
33,"Thank you #MeganMarkle for donating blood, helping with the food drive, building a playground, and bringing love and compassion to  #Uvalde #UvaldeMassacre https://t.co/91soAlyJfD",,,,,,,,
34,@GregAbbott_TX @AngieChenButton @TanParkerTX Are you going to #Uvalde? There are people down there that have an issue they would like to discuss with you. #BetoForGovernor,,,,,,,,
35,"@TheTNHoller @AndyOgles @Campbell4TN #Foundation of the #Country #USA shaken #Women #WomenRights #School #Children #Teachers #Seniors #PeopleOfColor #Immigrants #Minority #community based on #Extreme and #Unpatriotic #GOP #Republicans #IssueBasedSupport is #Suicidal #Hispanics #Vote #VoteBlue
#Avenge #Uvalde",,,,,,,,
36,"#Foundation of the #Country #USA shaken #Women #WomenRights #School #Children #Teachers #Seniors #PeopleOfColor #Immigrants #Minority #community based on #Extreme and #Unpatriotic #GOP #Republicans #IssueBasedSupport is #Suicidal #Hispanics #Vote #VoteBlue
#Avenge #Uvalde https://t.co/TIULqC2lZk",,,,,,,,
37,This hits home after the Monday school shooting here in STL. These children did not have to die. No children should have to die at school. It should be a  sacred space. No child should live with this trauma the rest of their life. #Uvalde #CVPA #GunControlNow https://t.co/ADZ3Ao9aFr,,,,,,,,
38,"Parents in Texas are being sent DNA kits for their children.

Why?

Because when their kids are shot by an AR-15, their bodies explode and they are unidentifiable.

America, land of the free.

#SchoolShootings

#Uvalde
#UvaldeMassacre
#TexasSchoolMassacre

#C4news
#Channel4News",,,,,,,,
39,"@AbbottCampaign @GregAbbott_TX @DanPatrick @KenPaxtonTX @CasandraLGarcia @LujanForTX 

Radical #MAGARepublicans don't talk abt their Radical #AbortionBan or about the 19 children and 2 teachers that were slaughtered on their watch, #Uvalde 

#Texas #women 
#VoteBlueToProtectWomen #VoteBlueToSaveOurKids https://t.co/d6XI70FPtV",,,,,,,,
40,"@AbbottCampaign @GregAbbott_TX Greedy Heartless Greg refuses to even say the names of the 19 children and 2 teachers murdered on his watch 
#Uvalde #Texas #VoteHimOut 

8yrs of Abbott's Radical and Dangerous agenda is Enough 

@BetoORourke will protect our children 
#BetoForGovernor 
#VoteBlueToSaveOurKids https://t.co/uu1Y1X00Ll",,,,,,,,
41,@AbbottCampaign @GregAbbott_TX Nah Ill stand with uvalde and pick Beto #UvaldeMassacre #Uvalde,,,,,,,,
42,"I an voting to stand with the victims &amp; families of #Uvalde, #ElPaso, #SantaFe &amp; #SutherlandSprings
#StopTheGunCarnageNow
https://t.co/DJx7iN8OOL",,,,,,,,
43,"More documentation &amp; clarification on a vital story that has connection to #Uvalde, seemingly.  Seems like some sort of internal struggle between Rangers, who are investigating and DPS leadership who are stonewalling same. This isnt the whole story here but it means we need one. https://t.co/YfovnYH2hX",,,,,,,,
44,@GregAbbott_TX Hey #UVALDE #ElPaso let this MFR know that you matter even more. #VoteBlueIn2022,,,,,,,,
45,I voted in the best interest of these babies and educators. #Uvalde #UvaldeStrong #LivesRobbed https://t.co/fWpIbpUtnN,,,,,,,,
46,"@AbbottCampaign @GregAbbott_TX I Voted Early for @BetoORourke 
and for the victims and families of the #Uvalde Massacre that Greedy Greg is responsible for 

8yrs of Radical Abbott is Enough!
#VoteHimOut 

#BetoForGovernor 
#VoteBlueToSaveOurKids 

BE THEIR VOICE 
#UvaldeStrong https://t.co/Xz8Ov7adaq",,,,,,,,
47,@GregAbbott_TX @AngieChenButton @TanParkerTX I see you haven’t gone to #Uvalde https://t.co/ev3LYtR7mu haven’t even called a special session for gun reform!You haven’t been there for the families who lost their children or had injured https://t.co/qvZg6fsdJP haven’t been there for #Uvalde at all!#VoteAbbottOut #UvaldeStrong,,,,,,,,
48,@TomCottonAR Crime. Crime. Crime. #highlandpark #treeoflife #Uvalde #parkland #republicans allowing easy access assault weapons https://t.co/10ezr9tuA4,,,,,,,,
49,A painful reminder of why we need to Vote against ALL candidates who refuse to support common sense gun legislation! #VoteBlueForSoManyReasons #Uvalde https://t.co/3C3liXXIFX,,,,,,,,
50,Forgetting #Uvalde FAST as SHOCKING Texas Rule on (LACK) of #GunControl Dominates: #Texas Goes Permitless on Guns &amp; Police Face Armed Public #EndGunViolence #GunReformNOW #GunSense #StopGunViolence #GunControlNOW #IARTG #Progressives #BTRTG #GunViolence  https://t.co/OiIcytSWB9,,,,,,,,
51,"@JasonKander @JesseKellyDC The irony of the profiteering Right's use of the ""death by thousand cuts"" analogy whenever they lose ground in #GunControl while continually excusing any bigotry, misogyny, antisemitism, etc. as an ""anomoly."" It's a dangerous path a strong America would be wise to avoid",,,,,,,,
52,"Hi @GovRonDeSantis Burgundy?! 
::Fix The Teleprompter::

Hi Mr DeSantis! Would you have any other documentation on your political positions. I am making my decisions for #ElectionDay 
I would like to hear more about #GunControl #environmental &amp; how you can help us? https://t.co/8C8DxNlgGB",,,,,,,,
53,"Modern day #journalism be like ""Most Americans want more #guncontrol."" Okay, what percent of the 332 million #Americans did you ask? What organization conducted the survey? What were the EXACT questions that were asked in the survey? What percent were gun owners? #2a",,,,,,,,
54,@MarshaBlackburn Gun deaths per capita are HIGHEST IN RED STATES….lowest in Blue states. We need #GunControl! https://t.co/kVAxHL0eXc,,,,,,,,
55,"I have no sympathy for police on this because they won’t speak out in favor of #GunControl. They have the power to make a change.

via @NYTimes https://t.co/tYycPgO6h5",,,,,,,,
56,#2A #GunsSaveLives #GunControl does not work. #GoodGuyWithAGun https://t.co/qlfLCz3hxz,,,,,,,,
57,@EpochOpinion @EpochTimes a more rigorous #GunControl would be solely used as a totalitarian tool by any state - which has the monopoly on the use of force by default. So less GunControl  is less freedom and means essentially controlling people who might want to have or possess guns already =&gt;everybody!,,,,,,,,
58,"Drug #Cartels Buying Weapons Directly From Mexican Military.
#guncontrol
https://t.co/ljgxlTCnyI",,,,,,,,
59,"@NikkiHaley @DrOz #DrQuack won't keep your kids safe from the next #EliseStefanikMassacre. They might be #shot in #school any time. @JohnFetterman wants #GunControl, #Oz won't protect against #GunCrime. #VoteBlueToSaveOurKids",,,,,,,,
60,#DemandAction #GunSense @rwwatchma is out! https://t.co/DFavcrTBKe Stories via @MemeBurk #guncontrol #gunviolence,,,,,,,,
61,The latest #GUNSENSE! https://t.co/qrKBT4i1eP Thanks to @mtnmama14 @titusthemutt @frequentbuyer1 #gunviolence #guncontrol,,,,,,,,
62,If enough people started to do this &amp; play by the #GunControl playbook? I suspect people would back off on trying to virtue signal &amp; lie about guns https://t.co/eKj7pB9JS4,,,,,,,,
63,Hochul's touting of red flag law a political stunt – Bearing Arms #2ndAmendment #guncontrol  https://t.co/EYR4Ypaf5k,,,,,,,,
64,@JSternburgProd @thebaldtexican It’s NOT about need PUS. #2ndAmendment #GunControl https://t.co/R4E1cdSm64,,,,,,,,
65,"Guns are not helping #Reno #Nevada #guncontrol #2a 
https://t.co/QoHiRYvLHZ via @rgj",,,,,,,,
66,"Saying you don't need a #gun because you can call the #Police is like saying you don't need a fire extinguisher because you can call the #FireDepartment.
#GunControl #2A #2ndAmendment #SelfDefense",,,,,,,,
67,@HoustonMH1757 Thanks for supporting this. #2ndAmendment #GunControl https://t.co/off8icHNFQ,,,,,,,,
68,@JudiciaryGOP America will be 1000% safer with sensible #guncontrol measures in place. #VoteBlueForSoManyReasons but one of them is so your kids don't get mowed down in Social Studies.,,,,,,,,
69,"It's ridiculous and scary that a skit from 7 years ago is just as relevant, if not more resonating, today. #RepublicanWarOnWomen 
#GunControl 
#OzFettermanDebate https://t.co/oxTaNkGNne",,,,,,,,
70,"Opinion💭by Jonathan Madison

Arguments in favor of #GunControl eclipse any meaningful discussion about the shooter’s motives, the victims, or law enforcement.

This is a debate with little room for identifying and uprooting the underlying problem. https://t.co/skyFEExmp4",,,,,,,,
71,"@nunez_anna Yet ""No statewide shooting statistics have been released since the law went into effect last September""

#guncontrol",,,,,,,,
72,"Many sheriffs, police leaders &amp; district attorneys in urban areas of Texas say...increase in people carrying weapons &amp; in spur-of-the-moment gunfire in year since state began allowing most adults 21 or over to carry handgun w/o license.
#TXlege #GunControl
https://t.co/DfPiEzkzy4",,,,,,,,
73,"@namwella1961 But #DrOz Doesn't Believe in #Democracy. Otherwise he wouldnt supporting a party had is ACTIVELY trying to destroy it
He doent care that their attacks on #Abortion has nothing to do with saving lives, otherwise why the #Covid19 and No #GunControl?
Its about revolking #CivilRights https://t.co/4a0L4vefZU",,,,,,,,
74,Everyone needs to listen to this one. Here’s your solution to guns. #2ndAmendment #GunControl https://t.co/eGQjxTklWt,,,,,,,,
75,"Check out the latest episode of our 2A Ricochet podcast! #2A #guns #GunControl 

https://t.co/0MU3ZwCGjy",,,,,,,,
76,"@AuschwitzMuseum I would like to thank @Twitter for putting these posts at the top of my feed at every refresh.
They have galvanized my position opposing #GunControl, and show that a vote for @TheDemocrats will leave us as vulnerable as these poor people.
#2A",,,,,,,,
77,Q&amp;A Interview with UTP author @NoahSchwartzy. Noah Schwartz took a moment to answer some of our questions about writing his newest book and the impact it will have. Read/Listen here: https://t.co/0aMBcpPa3Y #GunPolitics #GunCulture #NRA #GunControl #GunPolicy #Firearms https://t.co/TrRyzMlRgE,,,,,,,,
78,"@AuschwitzMuseum #GunControl creates victims.
#shallnotbeinfringed",,,,,,,,
79,Guns are the one thing you can't say shouldn't be regulated cause people will just buy them illegally. Look at how many mass shooters bought their weapons legally #GunControl #UvaldeMassacre #AbbottFailsTexasEveryday #VoteBeto,,,,,,,,
80,"On this weeks episode of #Untold TNP President &amp; Founder @MercyQuaye and cohost @johndankosky  dive into how to tackle #guncontrol in CT.

@ctmirror
https://t.co/dT7Y9fKPs8",,,,,,,,
81,"@davidhogg111 The @GOP talks about parents’ rights regarding kids’ education. So GOP, why don’t parents have the right to expect that their kids are safe from gun violence at school? @GregAbbott_TX why is TX asking parents to send kids to school with DNA kits? Ban assault weapons. #guncontrol",,,,,,,,
82,"When the government buys guns w/o a background check, nobody bats an eye.

But if I do that, suddenly it's a felony.

Double standard

#GunControlNow #guncontrol #nofair https://t.co/fHTYZGvMsS",,,,,,,,
83,"#WOW! #MathIsHard for Poly. 3% is more important for #polysesouvient than the 97% of the other crimes like, sexual assault, crime against children, #IDV, And what happened in early 90's? oh yeah! #GunControl  measures. gunControl works? #Not Scrap #BillC21 #cdnpoli https://t.co/tqCuJpVyS2",,,,,,,,
84,"Police officer trying to help the guy, who staged a suicide attempt, then accidentally shot the gun instead of the taser gun against him.

I'm not judging her actions, but for all her wrong doing, she may not be hired back into the police...

#GunControl NOW! https://t.co/Yo3gIcYD88",,,,,,,,
85,Greatest Threat Today? https://t.co/iH1lZvensU #guncontrol #JohnsHopkins #WhiteSupremacy #insurrectionist #webinar,,,,,,,,
86,The latest The Content Marketing Report! https://t.co/ADCRYmYpFw Thanks to @doctorow @sejournal @MemeBurk #seo #guncontrol,,,,,,,,
87,"Reality is hard. 
#guncontrol #canada #useless #TrudeauworstPMever 

https://t.co/RwsJmVxrlo",,,,,,,,
88,"""I am 1776% sure that no one is taking my gun"" (2019 #meme). “I’m 1776% sure you’re not taking my AR-15” (2019). 
#quotes #memes #slogans #guns #AR15 #guncontrol (2/2)
https://t.co/YOkT8SJQwd",,,,,,,,
89,"“I am 1776% sure no one is taking my #guns” (2016 #meme).  “I am 1776% sure no one will be taking my guns” (2021). #quotes #memes #slogans #guncontrol (1/2)
https://t.co/2rmw4wF79l",,,,,,,,
90,"@Catmom32220611 @1smaine @AmyLynnStL You think you can stop murder with any object?

And why do all you #guncontrol freaks think about penis? https://t.co/quWfouY6K7",,,,,,,,
91,“She died after putting herself between the gunman and her students to protect them.” It’s past time for all of us to do the same. #MassShootings #GunControl.,,,,,,,,
92,"@mhdksafa Mass shootings are actually rare, and after the ban expired, homicides with all rifles including ""assault rifles"" decreased despite more than 20 million purchased.

#guncontrol https://t.co/fmDCHEjgIg",,,,,,,,
93,Sheriff Joe Lombardo’s Closet. Newly discovered Gunfire muzzle flashes from Mandalay tram Station roof. #vegasshooting #route91harvestfestival #fakenews #GunControl #conspiracytheory #falseflag #vegasstrong #truecrimecommunity https://t.co/716BhbLUGf,,,,,,,,
94,"YET ANOTHER ONE! Praying for all the victims. #GUNCONTROL!

Two Dead in 40th School Shooting of 2022 https://t.co/QOG5yfsOfN via @YouTube",,,,,,,,
95,"St. Louis County mayors join Valentine in call for tighter gun control laws 

https://t.co/56MMWDRN4q

#GunControl #GunControlNow #WellRegulatedGunControl #AtPeaceWithNoGuns",,,,,,,,
96,#GunControlNow #GunControl It’s past due https://t.co/ppCaVkohS0 https://t.co/jU7SsQ9gKJ,,,,,,,,
97,"@GalenMicheal In other parts of the world it takes months to earn the privilege of owning a gun, even farmers with good cause. First we need an age requirement. 25 years old unless with good reason and three independent okays, one being a psychologist. This is so obvious. #NRA #GunControl NOW!",,,,,,,,
98,"What's #Measure114, you may wonder?

Measure 114 would increase gun control in Oregon, and if passed, it would be the strictest #GunControl measure in the nation. 🤗 https://t.co/Pt1t0Tg1tx https://t.co/WqMkk3oxn3 https://t.co/3R79znf0Jl",,,,,,,,
99,"@DoBetter314 @BryanDawsonUSA @fred_guttenberg They don't know anything about inner city, the projects, or anything else outside of the zones in which they live. They don't know that #GunControl laws are #racist.",,,,,,,,
